date,temperature,humidity,luminosity
2019-12-04 15:22:26.334,23.3,29.7,199
2019-12-04 15:22:28.611,23.3,29.6,199
2019-12-04 15:22:30.884,23.3,29.6,199
2019-12-04 15:22:33.161,23.3,29.5,209
2019-12-04 15:22:35.439,23.3,29.6,210
2019-12-04 15:22:37.712,23.3,29.5,209
2019-12-04 15:22:39.990,23.3,29.5,209
2019-12-04 15:22:42.267,23.3,29.5,207
2019-12-04 15:22:44.540,23.3,29.5,208
2019-12-04 15:22:46.817,23.3,29.4,209
2019-12-04 15:22:49.095,23.3,29.4,207
2019-12-04 15:22:51.368,23.3,29.4,199
2019-12-04 15:22:53.645,23.3,29.4,200
2019-12-04 15:22:55.923,23.3,29.4,209
2019-12-04 15:22:58.195,23.3,29.4,204
2019-12-04 15:23:00.473,23.3,29.4,204
2019-12-04 15:23:02.747,23.3,29.4,198
2019-12-04 15:23:05.024,23.3,29.4,198
2019-12-04 15:23:07.301,23.3,29.3,199
2019-12-04 15:23:09.574,23.3,29.3,199
2019-12-04 15:23:11.852,23.3,29.3,198
2019-12-04 15:23:14.129,23.3,29.3,198
2019-12-04 15:23:16.402,23.3,29.3,198
2019-12-04 15:23:18.679,23.3,29.3,200
2019-12-04 15:23:20.956,23.3,29.3,201
2019-12-04 15:23:23.229,23.3,29.3,204
2019-12-04 15:23:25.507,23.2,29.2,205
2019-12-04 15:23:27.784,23.3,29.3,205
2019-12-04 15:23:30.057,23.3,29.3,207
2019-12-04 15:23:32.335,23.3,29.3,200
2019-12-04 15:23:34.612,23.3,29.3,201
2019-12-04 15:23:36.885,23.3,29.2,203
2019-12-04 15:23:39.162,23.3,29.2,203
2019-12-04 15:23:41.440,23.3,29.3,203
2019-12-04 15:23:43.713,23.3,29.3,203
2019-12-04 15:23:45.991,23.3,29.2,203
2019-12-04 15:23:48.269,23.3,29.2,201
2019-12-04 15:23:50.542,23.3,29.2,200
2019-12-04 15:23:52.818,23.3,29.2,197
2019-12-04 15:23:55.092,23.3,29.2,198
2019-12-04 15:23:57.369,23.3,29.3,203
2019-12-04 15:23:59.646,23.3,29.3,205
2019-12-04 15:24:01.919,23.3,29.3,201
2019-12-04 15:24:04.196,23.3,29.3,203
2019-12-04 15:24:06.473,23.3,29.4,203
2019-12-04 15:24:08.748,23.3,29.4,197
2019-12-04 15:24:11.024,23.3,29.4,195
2019-12-04 15:24:13.301,23.3,29.4,197
2019-12-04 15:24:15.575,23.3,29.4,197
2019-12-04 15:24:17.852,23.3,29.3,197
2019-12-04 15:24:20.130,23.3,29.3,197
2019-12-04 15:24:22.403,23.3,29.3,197
2019-12-04 15:24:24.680,23.3,29.3,197
2019-12-04 15:24:26.958,23.3,29.3,195
2019-12-04 15:24:29.231,23.3,29.3,195
2019-12-04 15:24:31.508,23.2,29.1,197
2019-12-04 15:24:33.781,23.3,29.2,197
2019-12-04 15:24:36.059,23.3,29.3,197
2019-12-04 15:24:38.336,23.3,29.5,197
2019-12-04 15:24:40.609,23.3,29.8,200
2019-12-04 15:24:42.886,23.3,30.2,199
2019-12-04 15:24:45.163,23.3,30.4,198
2019-12-04 15:24:47.436,23.3,30.6,199
2019-12-04 15:24:49.714,23.3,30.7,198
2019-12-04 15:24:51.991,23.3,30.8,205
2019-12-04 15:24:54.264,23.3,31.0,205
2019-12-04 15:24:56.542,23.3,30.9,205
2019-12-04 15:24:58.819,23.3,30.7,205
2019-12-04 15:25:01.092,23.3,30.6,205
2019-12-04 15:25:03.369,23.3,30.5,207
2019-12-04 15:25:05.647,23.3,30.5,205
2019-12-04 15:25:07.921,23.3,30.4,205
2019-12-04 15:25:10.198,23.3,30.3,204
2019-12-04 15:25:12.475,23.3,30.2,205
2019-12-04 15:25:14.748,23.3,30.2,208
2019-12-04 15:25:17.025,23.3,30.1,208
2019-12-04 15:25:19.303,23.3,30.1,208
2019-12-04 15:25:21.576,23.3,30.2,208
2019-12-04 15:25:23.853,23.3,30.2,208
2019-12-04 15:25:26.131,23.3,30.1,208
2019-12-04 15:25:28.404,23.3,30.0,208
2019-12-04 15:25:30.681,23.3,29.9,208
2019-12-04 15:25:32.958,23.3,29.8,208
2019-12-04 15:25:35.232,23.3,29.8,208
2019-12-04 15:25:37.509,23.3,29.8,208
2019-12-04 15:25:39.787,23.3,29.9,208
2019-12-04 15:25:42.059,23.3,29.9,208
2019-12-04 15:25:44.336,23.3,30.0,208
2019-12-04 15:25:46.614,23.3,30.0,208
2019-12-04 15:25:48.887,23.3,30.0,208
2019-12-04 15:25:51.164,23.3,30.0,208
2019-12-04 15:25:53.438,23.3,29.9,208
2019-12-04 15:25:55.715,23.3,29.8,208
2019-12-04 15:25:57.992,23.3,29.8,209
2019-12-04 15:26:00.265,23.3,29.8,209
2019-12-04 15:26:02.543,23.3,29.8,208
2019-12-04 15:26:04.821,23.3,29.8,208
2019-12-04 15:26:07.094,23.3,29.8,207
2019-12-04 15:26:09.371,23.3,29.7,208
2019-12-04 15:26:11.648,23.3,29.6,208
2019-12-04 15:26:13.921,23.3,29.6,208
2019-12-04 15:26:16.199,23.3,29.5,208
2019-12-04 15:26:18.476,23.3,29.5,208
2019-12-04 15:26:20.750,23.3,29.5,208
2019-12-04 15:26:23.026,23.3,29.5,208
2019-12-04 15:26:25.299,23.3,29.5,208
2019-12-04 15:26:27.577,23.3,29.5,207
2019-12-04 15:26:29.854,23.3,29.5,208
2019-12-04 15:26:32.127,23.3,29.5,208
